A46243,,,,,,11,1,30
A70ABE,,,,,0,11,5,16
A46243,,,,,,11,1,30
A7EDFE,2VG,,,,,11,5,2
A7EDFE,2VG,,,,,11,5,2
A7EDFE,2VG,,,,,11,5,2
A7EDFE,2VG,,,,,11,5,2
A46243,,,,,,11,1,30
A7EDFE,2VG,,,,,11,5,2
A462C3,,,,,,11,1,30
A7EDFE,2VG,,,,,11,5,2
A7EDFE,2VG,,,,,11,5,2
A837A7,,,,,,11,5,21
A462C3,,,,,,11,1,30
A7EDFE,2VG,,,,,11,5,2
A462C3,,,,,,11,1,30
A70ABE,,,,,0,11,5,16
A462C3,,,,,,11,1,30
A462C3,,,,,,11,1,30
A70ABE,,,,,0,11,5,16
ABEFDD,,,,,0,17,5,11
A7EDFE,2VG,,,,,11,5,2
A7EDFE,2VG,,,,,11,5,2
A462C3,,,,,,11,1,30
A7EDFE,2VG,,,,,11,5,2
A7EDFE,2VG,,,,,11,5,2
A7EDFE,2VG,,,,,11,5,2
A7EDFE,2VG,,,,,11,5,2
A462C3,,,,,,11,1,30
A7EDFE,2VG,,,,,11,5,2
A70ABE,,,,,0,11,5,16
A462C3,,,,,,11,1,30
A7EDFE,2VG,,,,,11,5,2
A46243,,,,,,11,1,30
A70ABE,,,,,0,11,5,16
A46243,,,,,,11,1,30
A7EDFE,2VG,,,,,11,5,2
A70ABE,,,,,0,11,5,16
AD014F,,,,,0,11,5,13
A7EDFE,2VG,,,,,11,5,2
A7EDFE,2VG,,,,,11,5,2
A46243,,,,,,11,1,30
A7EDFE,2VG,,,,,11,5,2
A46243,,,,,,11,1,30
A32F12,,,,,0,17,5,10
A7EDFE,2VG,,,,,11,5,2
A7EDFE,2VG,,,,,11,5,2
A462C3,,,,,,11,1,30
A7EDFE,2VG,,,,,11,5,2
A462C3,,,,,,11,1,30
A32F12,,,,,,17,5,29
A462C3,,,,,,11,1,30
A32F12,,,,,,11,5,23
A7EDFE,2VG,,,,,11,5,2
A46243,,,,,,11,1,30
A32F12,,,,,0,17,5,10
A7EDFE,2VG,,,,,11,5,2
A32F12,,,,,,11,5,23
A46243,,,,,,11,1,30
A32F12,,,,,0,17,5,10
A7EDFE,2VG,,,,,11,5,2
A32F12,,,,,0,17,5,10
A462C3,,,,,,11,1,30
A7EDFE,2VG,,,,,11,5,2
A7EDFE,2VG,,,,,11,5,2
A462C3,,,,,,11,1,30
A7EDFE,2VG,,,,,11,5,2
A70ABE,,,,,0,11,5,16
A7EDFE,2VG,,,,,11,5,2
A7EDFE,2VG,,,,,11,5,2
A7EDFE,2VG,,,,,11,5,2
A7EDFE,2VG,,,,,11,5,2
A46243,,,,,,11,1,30
